Wyoming Species List,,,,,,,,,,,,,,,
Scientific Name,Common Name,Synonyms,Major Taxonomic Group,Minor Taxonomic Group,BLM Wyoming Sensitive Species List,Heritage Global Rank (G Rank),Heritage State Rank (S Rank),USFWS Endangered Species Act,USFS Sensitive Species List,USFS Species of Local Concern,WGFD Species of Greatest Conservation Need (SGCN),WYNDD Wyoming Contribution Rank,WYNDD Species of Concern,Statewide Occurrence,Statewide Origin
Vallonia cyclophorella,Silky Vallonia Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vallonia excentrica,Iroquois Vallonia Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vallonia gracilicosta,Multirib Vallonia Snail,Vallonia sonorana,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vallonia parvula,Trumpet Vallonia Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SNR,,,,SGCN,,,Regular,Native
Vallonia perspectiva,Thin-lip Vallonia Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4G5,SNR,,,,SGCN,,,Regular,Native
Vallonia pulchella,Lovely Vallonia Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Valvata humeralis,Glossy Valvata,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Valvata sincera,Mossy Valvata,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,,SGCN,,SOC,Regular,Native
Valvata tricarinata,Threeridge Valvata,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Valvata utahensis,Desert Valvata,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G2,SNR,,,,SGCN,,,Regular,Native
Vertigo arthuri,Callused Vertigo Snail,Vertigo paradoxa,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,S3,,,BlkHlNF,SGCN,,SOC,Regular,Native
Vertigo binneyana,Cylindrical Vertigo Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G4,SNR,,,,SGCN,,,Regular,Native
Vertigo gouldii,Variable Vertigo Snail,Vertigo gouldi,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vertigo modesta,Cross Vertigo Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vertigo modesta concinnula,Mitered Vertigo,"Vertigo concinnula, Vertigo modesta ingersolli",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5TNR,SNR,,,,SGCN,,,Regular,Native
Vertigo ovata,Ovate Vertigo Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vertigo ventricosa,Five-tooth Vertigo Snail,"Vertigo elatior, Vertigo idahoensis",Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Vespericola megasoma,Redwood Hesperian,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G3,SNR,,,,SGCN,,,Regular,Native
Vitrina pellucida,Western Glass-snail,Vitrina pellucida alaskana,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Walterigalba montanensis,Mountain Marshsnail,Stagnicola montanensis,Invertebrate Animals,Gastropoda (Snails and Slugs),,G3Q,S3,,,,SGCN,,SOC,Regular,Native
Zonitoides arboreus,Quick Gloss Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Zonitoides nitidus,Black Gloss Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Zoogenetes harpa,Boreal Top Snail,,Invertebrate Animals,Gastropoda (Snails and Slugs),,G5,SNR,,,,SGCN,,,Regular,Native
Created On: 08-06-2023. Use the below link to find the Updated Link: https://wyndd.org/species_list/,,,,,,,,,,,,,,,
